Date,Infosys,Indian Hotel,Mahindra & Mahindra,Axis Bank,SAIL,Shree Cement,Sun Pharma,Jindal Steel,Idea Vodafone,Jet Airways
31-03-2014,264,69,455,263,68,5543,555,298,83,278
07-04-2014,257,68,458,276,70,5728,610,279,84,303
14-04-2014,254,68,454,270,68,5649,607,279,83,280
21-04-2014,253,68,488,283,68,5692,604,274,83,282
28-04-2014,256,65,482,282,63,5582,611,238,79,243
05-05-2014,248,64,502,300,67,5646,606,244,80,239
12-05-2014,253,68,508,324,75,6041,596,269,84,244
19-05-2014,244,83,528,344,86,6394,567,299,82,289
26-05-2014,234,82,563,339,84,6709,593,296,81,241
02-06-2014,268,89,561,364,104,7453,582,338,83,259
09-06-2014,284,95,560,335,93,7068,611,321,80,250
16-06-2014,296,92,521,363,90,7194,613,317,82,242
23-06-2014,288,94,525,371,89,7059,641,319,77,253
30-06-2014,290,98,560,376,91,7124,689,323,80,274
07-07-2014,297,95,530,353,78,7060,722,279,79,246
14-07-2014,290,86,539,388,84,7172,721,297,81,254
21-07-2014,299,88,564,386,84,6970,759,283,88,251
28-07-2014,298,86,547,376,82,7207,746,267,93,247
04-08-2014,311,79,573,361,78,7094,738,277,94,244
11-08-2014,322,75,616,367,81,7166,791,285,93,236
18-08-2014,321,83,648,392,79,7856,832,294,92,245
25-08-2014,321,89,655,386,78,7726,830,233,95,222
01-09-2014,333,92,656,404,81,8306,833,234,98,218
08-09-2014,328,91,647,405,76,8585,782,236,102,234
15-09-2014,330,90,640,396,71,8433,785,211,102,232
22-09-2014,328,86,649,379,69,8171,784,184,98,213
29-09-2014,343,88,647,369,68,8195,837,171,99,212
06-10-2014,347,88,614,369,70,8179,799,156,90,244
13-10-2014,344,87,584,390,74,8257,776,148,91,224
20-10-2014,362,92,588,412,80,8403,788,160,95,234
27-10-2014,385,96,608,427,80,8926,822,162,96,232
03-11-2014,396,98,577,456,80,8770,870,162,100,252
10-11-2014,399,98,585,464,83,8930,862,159,96,276
17-11-2014,394,99,581,464,80,8782,818,143,102,262
24-11-2014,415,102,616,468,85,8815,817,141,94,323
01-12-2014,394,115,603,485,79,9050,799,153,91,367
08-12-2014,369,108,583,470,75,8652,820,141,84,402
15-12-2014,380,106,569,477,78,8754,786,137,87,399
22-12-2014,371,110,585,481,77,9155,789,149,89,382
29-12-2014,383,111,570,500,79,9158,803,162,95,440
05-01-2015,394,109,577,481,75,9023,807,153,87,434
12-01-2015,403,106,608,500,74,9741,826,151,90,429
19-01-2015,421,109,634,549,75,10831,901,158,100,435
26-01-2015,407,111,589,572,74,10772,892,159,92,514
02-02-2015,424,111,535,547,71,10873,901,142,92,474
09-02-2015,437,105,555,565,72,11096,915,152,92,426
16-02-2015,434,108,583,546,71,10909,888,194,89,461
23-02-2015,431,104,596,551,69,10803,855,194,92,441
02-03-2015,427,98,572,600,66,10953,1010,186,89,420
09-03-2015,422,97,572,554,66,10504,984,186,108,452
16-03-2015,429,100,543,541,67,10839,998,165,103,454
23-03-2015,419,101,553,531,68,10710,983,157,102,453
30-03-2015,413,105,560,554,69,10682,1051,156,112,490
06-04-2015,425,103,599,552,74,10608,1089,157,116,483
13-04-2015,414,98,570,519,76,9858,1009,159,117,450
20-04-2015,379,96,546,513,73,9860,921,148,108,378
27-04-2015,369,100,533,552,68,10009,913,140,104,379
04-05-2015,372,97,550,526,66,9967,914,134,101,375
11-05-2015,373,97,582,546,66,11607,920,136,103,356
18-05-2015,389,96,585,553,65,11434,976,138,99,372
25-05-2015,385,94,586,569,65,11132,939,120,103,385
01-06-2015,383,92,562,533,63,11052,824,107,106,305
08-06-2015,376,87,556,536,59,10410,791,95,101,264
15-06-2015,402,88,608,536,59,10667,823,91,104,273
22-06-2015,419,85,607,550,61,10833,843,91,102,283
29-06-2015,413,84,611,570,62,10728,847,85,107,278
06-07-2015,391,87,582,562,58,10774,877,85,104,332
13-07-2015,417,89,604,590,57,11476,921,81,107,343
20-07-2015,453,91,631,569,57,10752,813,76,106,324
27-07-2015,449,87,647,562,55,11215,800,79,103,400
03-08-2015,456,86,660,569,60,11080,828,79,99,402
10-08-2015,479,85,654,559,55,10729,873,71,95,401
17-08-2015,479,84,627,515,55,10878,912,71,90,373
24-08-2015,463,81,586,498,51,10816,862,68,91,338
31-08-2015,447,78,527,459,46,10610,834,62,88,312
07-09-2015,454,82,554,472,50,11277,823,62,88,328
14-09-2015,460,81,569,507,51,11829,880,64,87,337
21-09-2015,475,83,579,504,52,10952,867,60,83,331
28-09-2015,489,74,593,486,50,11801,866,60,89,321
05-10-2015,486,83,604,481,55,12256,881,69,94,326
12-10-2015,456,80,612,495,55,11607,866,75,90,388
19-10-2015,488,84,592,515,55,12414,860,76,84,412
26-10-2015,482,91,562,466,53,12051,868,80,83,437
02-11-2015,483,87,593,456,46,11783,784,72,83,417
09-11-2015,467,87,594,475,44,11091,723,79,77,435
16-11-2015,447,84,624,451,44,10714,708,88,81,458
23-11-2015,453,86,641,462,45,11059,722,90,86,505
30-11-2015,445,99,624,451,46,10956,737,93,83,556
07-12-2015,447,99,599,432,44,10526,739,87,79,563
14-12-2015,460,102,590,424,47,10790,771,91,80,619
21-12-2015,465,109,597,442,48,10741,772,92,84,609
28-12-2015,469,111,600,441,47,11191,796,94,85,761
04-01-2016,451,109,568,405,47,10964,775,85,79,747
11-01-2016,484,104,559,367,42,9635,768,64,67,708
18-01-2016,482,101,569,416,42,9755,770,66,64,617
25-01-2016,494,103,585,400,42,10371,852,64,61,603
01-02-2016,499,103,579,392,40,10208,837,64,60,570
08-02-2016,460,95,553,383,34,10314,827,55,65,544
15-02-2016,478,93,584,385,36,10486,843,57,65,557
22-02-2016,476,91,584,379,34,10176,851,53,63,505
29-02-2016,497,92,577,408,39,10881,836,63,63,534
07-03-2016,485,90,579,404,42,11081,847,63,61,538
14-03-2016,506,88,580,427,42,12069,796,61,61,523
21-03-2016,513,91,593,429,45,12314,826,62,63,554
28-03-2016,512,92,567,441,43,12072,795,64,64,567
04-04-2016,495,94,585,413,42,12051,792,67,65,615
11-04-2016,498,97,632,432,44,12569,813,68,68,626
18-04-2016,514,97,629,466,45,12534,800,73,70,616
25-04-2016,513,97,632,463,47,12507,792,70,71,617
02-05-2016,501,96,632,452,42,12434,785,64,68,626
09-05-2016,512,103,623,481,41,13469,776,62,68,652
16-05-2016,510,104,614,481,39,12815,772,60,65,604
23-05-2016,529,107,633,502,42,12946,805,62,67,604
30-05-2016,538,112,643,532,41,13411,719,61,63,558
06-06-2016,501,115,653,530,44,13382,723,64,62,570
13-06-2016,512,123,638,516,44,13520,725,66,60,550
20-06-2016,519,120,659,500,42,14036,736,62,59,534
27-06-2016,509,119,694,532,46,14648,745,71,63,546
04-07-2016,503,118,690,535,46,15418,759,70,61,571
11-07-2016,466,121,695,559,49,15467,752,73,66,561
18-07-2016,466,122,684,532,47,16065,767,69,64,567
25-07-2016,466,124,708,540,46,15872,810,84,62,621
01-08-2016,464,123,716,561,47,16435,821,83,63,600
08-08-2016,462,117,700,585,45,16748,781,81,56,540
15-08-2016,444,125,704,582,49,16740,765,88,56,538
22-08-2016,443,119,687,580,47,16851,737,85,56,530
29-08-2016,448,116,711,593,47,16993,763,82,50,534
05-09-2016,450,120,710,606,50,17103,778,85,50,541
12-09-2016,461,118,679,596,46,16490,766,82,51,541
19-09-2016,453,122,680,551,48,16726,762,82,49,548
26-09-2016,450,120,678,535,46,16807,726,76,48,476
03-10-2016,440,118,663,528,49,17394,734,80,48,467
10-10-2016,446,118,655,515,47,16878,728,77,45,456
17-10-2016,451,122,640,520,50,16993,730,76,48,478
24-10-2016,443,106,633,482,51,16488,726,75,46,459
31-10-2016,431,104,662,473,49,16594,636,69,44,436
07-11-2016,409,91,598,493,51,15058,672,75,42,425
14-11-2016,408,84,598,468,48,13934,673,68,43,360
21-11-2016,434,90,566,466,49,15229,698,67,44,370
28-11-2016,428,91,553,455,49,14855,704,67,44,377
05-12-2016,439,96,573,451,54,15017,657,74,46,369
12-12-2016,446,91,570,468,51,13918,632,73,46,362
19-12-2016,439,88,565,433,49,13440,609,68,43,349
26-12-2016,449,91,572,445,49,14530,615,69,45,348
02-01-2017,431,88,589,450,51,14101,626,74,44,372
09-01-2017,433,94,588,468,57,14750,638,78,41,391
16-01-2017,421,99,575,446,57,15283,627,77,43,402
23-01-2017,418,103,604,468,63,15692,626,79,47,419
30-01-2017,415,101,608,485,65,15825,632,91,66,379
06-02-2017,430,108,616,484,61,15809,640,91,67,373
13-02-2017,444,107,635,484,59,15131,660,93,64,367
20-02-2017,448,112,630,522,59,16164,659,117,72,422
27-02-2017,458,111,638,507,61,15767,671,126,67,429
06-03-2017,453,111,629,510,58,15781,667,126,63,441
13-03-2017,462,113,629,511,62,16268,691,130,65,477
20-03-2017,458,114,616,484,62,16085,688,120,55,493
27-03-2017,454,117,621,485,60,16847,672,121,52,526
03-04-2017,436,120,615,499,65,17580,651,129,53,497
10-04-2017,413,118,618,502,61,17454,677,122,52,502
17-04-2017,410,117,607,481,59,17352,625,112,51,505
24-04-2017,408,118,644,504,59,18922,627,114,52,519
01-05-2017,413,119,637,499,59,19063,616,108,49,533
08-05-2017,428,123,660,497,59,19464,640,112,56,519
15-05-2017,425,128,643,496,60,18406,638,112,53,520
22-05-2017,442,127,647,506,58,17385,555,125,48,483
29-05-2017,430,125,684,502,56,17723,503,122,48,485
05-06-2017,434,122,688,508,56,17903,513,123,48,528
12-06-2017,430,117,669,505,56,17540,517,125,47,541
19-06-2017,432,120,664,499,57,16701,531,118,48,559
26-06-2017,428,123,651,512,57,16719,543,123,51,564
03-07-2017,428,117,664,498,61,18112,536,132,50,591
10-07-2017,445,115,664,512,61,18340,559,137,54,617
17-07-2017,449,116,675,540,61,17439,563,137,55,597
24-07-2017,456,114,678,514,62,17277,538,150,58,596
31-07-2017,450,118,691,507,61,17834,495,138,56,609
07-08-2017,452,113,657,489,56,17305,440,128,52,557
14-08-2017,422,115,667,490,59,17131,459,136,54,580
21-08-2017,417,102,670,506,60,16780,472,135,54,574
28-08-2017,421,109,656,507,62,17573,475,143,53,578
04-09-2017,405,106,631,493,62,18504,460,142,48,570
11-09-2017,416,107,630,516,61,18411,512,149,48,566
18-09-2017,411,104,627,505,57,17502,502,140,47,509
25-09-2017,412,107,611,509,53,18348,495,135,47,482
02-10-2017,421,107,635,503,55,18540,521,153,45,489
09-10-2017,426,104,646,529,57,18340,526,163,48,482
16-10-2017,424,113,670,460,58,17985,527,160,55,476
23-10-2017,433,111,676,485,79,18783,541,166,56,524
30-10-2017,424,113,648,539,86,18746,542,165,64,623
06-11-2017,446,111,678,544,80,17829,519,166,58,685
13-11-2017,451,110,690,542,77,18051,509,165,57,691
20-11-2017,468,119,698,545,81,16877,540,173,57,654
27-11-2017,445,118,686,533,77,16983,517,168,56,655
04-12-2017,465,119,676,542,80,17023,513,165,58,666
11-12-2017,475,118,723,547,77,17562,510,165,57,703
18-12-2017,482,118,727,553,84,17624,522,185,61,759
25-12-2017,484,116,732,563,91,17848,562,205,65,832
01-01-2018,470,131,737,563,96,18727,569,239,70,871
08-01-2018,500,140,748,554,97,18636,574,265,65,827
15-01-2018,531,141,746,590,92,18125,563,264,62,793
22-01-2018,545,147,738,615,92,17954,570,280,57,766
29-01-2018,530,127,750,564,82,16843,542,251,53,686
05-02-2018,515,135,731,557,92,16846,573,273,50,792
12-02-2018,523,131,725,537,87,16782,566,252,49,740
19-02-2018,536,130,700,536,86,17022,560,265,50,745
26-02-2018,539,135,714,525,80,16405,527,249,50,743
05-03-2018,540,127,710,505,68,15817,498,222,48,688
12-03-2018,544,128,722,522,72,16236,495,226,49,704
19-03-2018,542,126,714,499,68,15855,494,214,47,620
26-03-2018,525,128,720,510,69,16011,487,219,46,609
02-04-2018,523,134,752,500,74,16862,504,240,45,621
09-04-2018,544,136,769,542,75,16729,505,251,44,624
16-04-2018,547,145,779,505,78,16805,497,252,43,626
23-04-2018,550,141,840,539,76,16824,515,254,41,623
30-04-2018,544,139,832,520,71,16146,509,241,38,512
07-05-2018,548,138,847,553,72,16021,464,256,31,480
14-05-2018,549,136,814,532,72,16202,457,246,31,417
21-05-2018,570,135,836,538,71,16064,459,236,36,405
28-05-2018,566,138,878,536,71,16465,476,227,37,399
04-06-2018,585,139,888,537,83,16038,520,241,39,400
11-06-2018,595,131,886,528,84,16027,562,234,37,388
18-06-2018,584,134,885,525,83,15399,568,231,37,388
25-06-2018,611,130,874,510,82,15376,555,223,36,347
02-07-2018,601,126,901,513,79,16016,549,216,33,345
09-07-2018,616,124,883,522,74,16933,550,206,32,332
16-07-2018,630,127,893,533,70,16347,551,183,31,303
23-07-2018,642,128,894,553,74,16923,548,204,34,313
30-07-2018,638,129,904,574,78,17325,576,203,33,308
06-08-2018,648,123,929,615,77,17206,545,204,33,276
13-08-2018,669,126,944,627,75,17619,613,199,31,301
20-08-2018,645,125,951,639,74,18229,619,202,31,276
27-08-2018,674,136,948,648,79,18778,642,221,30,283
03-09-2018,685,128,956,645,77,17814,653,220,28,276
10-09-2018,686,129,935,636,76,17541,654,233,28,267
17-09-2018,660,126,943,598,75,16726,624,235,27,229
24-09-2018,683,136,845,612,67,16760,615,196,23,180
01-10-2018,678,123,756,568,65,15595,590,176,20,182
08-10-2018,635,124,755,584,66,15228,583,178,22,201
15-10-2018,639,121,728,562,64,14422,602,166,22,230
22-10-2018,593,127,715,537,62,13462,547,161,22,217
29-10-2018,626,130,769,610,68,14649,564,185,24,229
05-11-2018,624,131,781,612,65,15269,589,184,25,257
12-11-2018,615,134,754,619,63,15811,513,175,26,347
19-11-2018,587,138,733,614,60,15615,519,168,25,308
26-11-2018,631,143,777,625,54,16358,486,154,21,306
03-12-2018,646,143,708,603,50,16210,406,147,20,276
10-12-2018,668,149,744,619,50,16755,415,158,22,260
17-12-2018,611,145,767,620,52,17012,420,165,23,253
24-12-2018,621,147,789,624,54,17092,419,161,23,277
31-12-2018,625,142,713,619,52,16606,428,152,22,245
07-01-2019,646,139,715,666,51,15789,438,149,22,254
14-01-2019,691,135,722,664,49,15468,385,146,21,281
21-01-2019,691,132,671,669,47,15600,417,137,20,253
28-01-2019,720,142,676,716,46,15658,418,130,19,255
04-02-2019,723,136,670,719,44,16093,425,130,18,226
11-02-2019,705,135,616,686,44,15518,417,139,18,233
18-02-2019,699,142,635,701,48,16046,425,159,18,236
25-02-2019,705,137,638,702,52,16584,441,162,18,234
04-03-2019,677,143,658,732,53,17520,449,163,20,243
11-03-2019,683,148,682,734,51,17412,458,166,20,235
18-03-2019,706,147,667,756,51,18006,467,167,19,226
25-03-2019,707,153,662,776,53,18552,472,180,18,269
01-04-2019,722,154,646,761,58,18961,457,187,16,256
08-04-2019,711,150,666,763,56,18954,459,181,16,261
15-04-2019,682,152,672,770,56,19572,457,183,17,165
22-04-2019,702,151,648,759,56,19892,458,175,16,167
29-04-2019,688,152,634,756,56,19749,447,182,16,136
06-05-2019,682,145,617,734,52,18866,432,163,14,152
13-05-2019,688,142,609,748,47,19360,404,157,12,124
20-05-2019,674,150,653,792,51,20798,410,161,13,148
27-05-2019,701,156,635,807,49,21485,404,160,14,146
03-06-2019,703,148,632,803,48,20611,394,157,13,125
10-06-2019,704,145,626,800,50,20337,387,165,13,82
17-06-2019,723,150,616,770,49,21024,378,147,12,73
24-06-2019,706,157,644,808,50,21686,396,142,12,68
01-07-2019,692,149,631,805,48,21234,370,134,12,62
08-07-2019,701,147,621,756,46,21223,402,139,12,48
15-07-2019,757,144,561,729,44,21015,416,139,11,43
22-07-2019,759,143,562,730,44,21299,434,138,9,39
29-07-2019,748,137,554,674,40,19878,415,119,6,37
05-08-2019,762,139,543,661,38,20179,416,100,5,47
12-08-2019,747,132,526,676,36,19388,409,104,6,40
19-08-2019,773,135,531,664,31,18326,422,102,6,35
26-08-2019,786,138,527,664,31,18490,447,97,5,40
02-09-2019,810,132,527,671,33,17790,422,96,5,39
09-09-2019,800,132,549,674,34,18714,420,109,5,37
16-09-2019,776,148,566,680,34,19163,411,109,6,34
23-09-2019,754,153,553,701,33,19238,399,103,6,30
30-09-2019,765,155,562,656,31,18047,383,94,5,24
07-10-2019,786,150,558,673,32,18292,384,97,6,20
14-10-2019,740,148,591,710,36,18596,399,108,6,15
21-10-2019,626,151,589,710,35,20102,415,107,4,20
28-10-2019,679,150,587,748,39,19914,434,123,4,24
04-11-2019,699,148,578,726,39,19896,419,145,4,23
11-11-2019,694,154,581,717,36,19444,412,144,4,23
18-11-2019,684,149,544,732,39,20206,449,144,7,23
25-11-2019,687,148,528,739,39,20902,447,161,7,22
02-12-2019,705,147,508,718,38,20213,426,140,7,21
09-12-2019,702,146,514,752,41,20292,436,139,7,20
16-12-2019,722,140,528,740,42,20461,427,157,7,24
23-12-2019,727,148,528,760,42,20414,423,161,6,29
30-12-2019,736,145,530,743,47,21027,441,172,6,34
06-01-2020,728,137,544,740,50,23240,440,177,6,43
13-01-2020,758,145,567,740,51,23221,451,177,5,45
20-01-2020,772,144,565,737,51,23030,445,189,6,35
27-01-2020,769,138,543,705,45,22315,420,167,5,28
03-02-2020,767,139,567,748,49,24806,428,198,5,27
10-02-2020,776,133,521,737,44,24323,416,191,3,28
17-02-2020,786,139,523,744,42,24297,402,193,4,28
24-02-2020,722,134,455,697,36,22569,373,154,4,25
02-03-2020,729,120,469,658,33,23110,401,146,3,22
09-03-2020,634,114,427,569,30,21308,384,121,6,18
16-03-2020,577,90,321,428,27,18904,365,105,3,16
23-03-2020,644,75,293,360,21,17666,338,89,3,14
30-03-2020,633,75,284,379,23,17546,352,82,3,14
